<Traits>	group	L	PA	SA	AD	RV	Ti	Fo	Cr	L_PR	PA_PR	SA_PR	AD_PR	RV_PR	Ti_PR	Fo_PR	Cr_PR
CML189	tropical/subtropical	387.29	23.39	73.47	0.65	1.22	423	635.33	64.33	118.1	6.84	21.48	0.55	0.3	161	224.67	27.33
P178	tropical/subtropical	76.9	5.26	16.53	0.7	0.28	184	296.5	NA	50.57	3.19	10.01	0.65	0.16	142.5	242	26.88
TY6	temperate	275.93	16.21	50.93	0.59	0.75	439	606	39	127.95	7.15	22.45	0.56	0.31	170.5	253	26.5
CIMBL27	tropical/subtropical	227.88	12.22	38.4	0.54	0.52	405.33	555	50.67	100.68	5.1	16.02	0.51	0.18	168.5	222.67	26.33
CIMBL133	tropical/subtropical	318.67	12.17	38.23	0.53	0.52	416.67	470	80.67	91.66	4.44	13.96	0.46	0.12	119.67	209	25.67
GEMS11	temperate	224.76	14.17	44.5	0.63	0.7	208	529	51.33	95.35	4.72	14.82	0.55	0.22	105	213	25.67
TY4	temperate	476.68	27.74	87.16	0.58	1.27	778.67	1335.33	88.33	154.9	8.68	27.27	0.56	0.38	279.67	336.33	25.33
CIMBL150	tropical/subtropical	210.78	13.62	42.79	0.58	0.63	325	430	39.67	120.97	6.3	19.78	0.52	0.26	191	276.33	25.33
TY2	temperate	140.62	9.4	29.54	0.67	0.49	348	408.5	92.67	47.46	2.99	9.38	0.63	0.15	107	134.5	25.22
CIMBL142	tropical/subtropical	228.17	11.92	37.44	0.54	0.49	272.5	420	52.5	88.94	4.67	14.66	0.52	0.19	101.5	182	25
CIMBL96	tropical/subtropical	207.92	13.45	42.26	0.65	0.55	260.67	523.33	39	104.77	4.94	15.51	0.65	0.23	119.67	232	25
CIMBL74	tropical/subtropical	199.14	12.7	39.9	0.64	0.64	327.33	392	29.67	98.42	5.49	17.24	0.54	0.24	191.67	232.67	25
CIMBL13	tropical/subtropical	201.79	10.66	33.48	0.53	0.44	471.33	569.33	118.02	47.27	2.62	8.23	0.58	0.12	111	85.67	24.95
CIMBL89	tropical/subtropical	460.38	31.99	100.49	0.64	1.31	577	1230.67	125	102.14	6.18	19.4	0.58	0.29	139.67	268.33	24.67
CIMBL129	tropical/subtropical	410.7	26.55	83.42	0.65	1.35	653.33	1337.33	80.33	117.07	7.35	23.1	0.63	0.37	134	341	24.67
CML486	tropical/subtropical	188.68	10.19	32	0.56	0.44	234	398.5	36.5	117.67	5.49	17.26	0.5	0.2	154	227.5	24.5
CIMBL32	tropical/subtropical	270.99	13.41	42.12	0.49	0.52	424	601.33	61.67	108.4	5.1	16.01	0.48	0.19	154	199.33	24.33
SW92E114	temperate	363.81	19.24	60.46	0.53	0.8	516.5	823.5	78	127.43	6.39	20.08	0.5	0.25	192.5	248.5	24
Q1261	temperate	341.66	18.21	57.2	0.53	0.76	580	1086	77	107.16	5.4	16.97	0.5	0.21	166.5	288.5	24
CIMBL62	tropical/subtropical	288.21	18.48	58.06	0.64	0.93	279	447	41.33	122.09	6.49	19.75	0.53	0.27	120.33	238	24
GEMS31	temperate	315.11	17.24	54.15	0.63	1	431.5	820	63	80.78	4.07	12.78	0.57	0.21	139.67	236	23
GEMS29	temperate	170.91	8.65	27.17	0.5	0.35	372.5	472.5	40.5	95.41	4.41	13.87	0.46	0.16	207.5	267.5	22.5
CIMBL113	tropical/subtropical	476.39	26.39	82.91	0.55	1.15	652.67	1427.67	125.67	100.64	5.06	15.9	0.51	0.2	127	211.67	22.33
CML118	tropical/subtropical	311.56	12.63	39.67	0.41	0.41	438.5	587	75.5	126.66	5.22	16.39	0.41	0.17	153.33	212	22.33
CIMBL22	tropical/subtropical	244.27	16.4	51.54	0.61	0.73	334.67	461	35.33	132.43	7.05	22.15	0.54	0.28	178.67	246	22.33
B77	temperate	206.43	10.46	32.86	0.54	0.47	380	565.33	33	94.91	4.55	14.31	0.48	0.17	170.33	207.67	22.33
303WX	temperate	295.62	14.2	44.61	0.48	0.54	297.5	499	56.5	109.59	5.17	16.25	0.47	0.19	96	194	21.5
CIMBL144	tropical/subtropical	191.35	9.2	28.9	0.48	0.35	433.5	581.5	41.5	64.3	2.9	9.11	0.47	0.1	153.5	186.5	21.5
CIMBL88	tropical/subtropical	282.1	18.96	59.56	0.67	1	363	625.5	35	158.31	10.24	32.17	0.65	0.52	177.67	193.5	21.33
CIMBL59	tropical/subtropical	322.12	17.55	55.15	0.55	0.75	542.33	988.33	67.33	96.19	5.16	16.2	0.55	0.18	163	247.33	21
ZB648	temperate	237.52	16.08	50.5	0.7	0.86	251.33	411.33	40	86.48	5.16	16.21	0.63	0.24	108.33	173	20.33
GEMS16	temperate	248.22	19.27	60.53	0.68	0.95	293.33	527.67	28.33	175.54	8.75	27.48	0.59	0.42	169.67	347	20.33
JH59	temperate	263.78	18.23	57.28	0.69	0.99	381	580.5	33.5	126.56	8.35	26.24	0.66	0.43	172.5	245.5	19.5
HUA83-2	temperate	166.94	10.19	32.02	0.61	0.49	227	347	24.5	67.64	3.44	10.8	0.51	0.14	100.5	168	19.5
TY5	temperate	142.22	8.74	27.45	0.64	0.42	174	198.5	19	92.1	4.92	15.46	0.63	0.21	149.5	166	19
ZHONG69	temperate	206.66	10.55	33.13	0.52	0.42	210.5	350.5	49.33	88.06	4.06	9.08	0.48	0.12	134	153.5	18.67
CML493	tropical/subtropical	113.26	6.52	20.47	0.57	0.3	209.33	337	82.01	34.79	2.3	7.23	0.58	0.11	63.33	74.33	18.55
CIMBL127	tropical/subtropical	308.31	19.28	60.57	0.63	0.95	393.67	816.5	84	116.71	7.01	22.02	0.68	0.34	54.5	191.5	18.5
GEMS58	temperate	286.13	16.16	50.78	0.57	0.72	484.67	685	60	116.7	6.89	21.66	0.56	0.36	206.5	241.5	18.5
CIMBL91	tropical/subtropical	336.34	18.8	59.07	0.56	0.83	692	1301	106	88.49	4.48	14.06	0.51	0.18	209.5	257.5	18
CML470	tropical/subtropical	259.98	17.89	56.21	0.68	0.97	377.33	580.67	47.67	53.78	4.86	15.26	0.65	0.25	102.33	145.33	18
CML298	tropical/subtropical	246.17	15.9	49.95	0.64	0.81	364	556	39.67	92.57	5.18	16.27	0.56	0.23	138.67	183.33	18
CIMBL81	tropical/subtropical	335.61	25.05	78.71	0.75	1.47	333.5	634.5	31	146.92	9.2	28.92	0.62	0.46	143	251.5	18
CIMBL75	tropical/subtropical	271.1	15.36	48.25	0.57	0.69	373	509	54.67	67.14	4.61	14.5	0.52	0.18	103.67	129.33	17.67
CIMBL90	tropical/subtropical	355.21	20.85	65.52	0.59	0.96	705.5	1063	72	117.08	6.87	21.57	0.59	0.32	273.5	294	17.5
CHENG698	temperate	145.38	8.72	27.39	0.62	0.41	219.67	235.5	24	65.49	4.92	15.45	0.58	0.23	130	189.67	16.33
CIMBL116	tropical/subtropical	70.72	5.02	15.76	0.71	0.28	230.5	183	278.44	30.01	2.19	6.87	0.73	0.13	101.5	91	16.1
B114	temperate	229.4	18.11	56.88	0.78	1.12	217.67	369.67	31	93.17	6.59	20.7	0.71	0.37	118.33	156.67	16
CML454	tropical/subtropical	176.7	11.89	37.34	0.67	0.63	234	398.33	22.33	93.06	5.77	18.13	0.63	0.26	129	183	15.67
238	temperate	328.84	21.71	68.21	0.66	1.13	546.33	1159	63	96.72	5.71	17.94	0.6	0.27	106	243	15.33
CML32	tropical/subtropical	159.74	9.95	31.25	0.62	0.49	152.5	286	29.33	90.78	5.43	17.07	0.59	0.26	115	160	14.67
DH3732	temperate	161.81	9.03	28.37	0.56	0.4	266.33	408	39.33	64.62	3.7	11.63	0.63	0.17	114	158.5	14.5
CIMBL55	tropical/subtropical	96.93	6.21	19.51	0.64	0.31	123	263	16.5	69.2	3.9	12.25	0.56	0.17	90.5	192.5	14.5
QI205	temperate	160.56	9.76	30.67	0.62	0.48	212.33	265.67	16.67	80.33	4.54	14.26	0.57	0.2	103.33	147.67	14.33
CML304	tropical/subtropical	183.65	10.49	32.97	0.58	0.41	217	434.67	29	71.03	3.91	12.29	0.58	0.15	98.33	158.33	14
CML192	tropical/subtropical	178.09	11.15	35.02	0.62	0.55	165.67	209.33	23.33	108.98	6.17	19.38	0.57	0.28	128	145.67	13.5
CIMBL108	tropical/subtropical	66.59	5.05	15.87	0.76	0.3	169	195	181.34	24.9	1.48	5.78	0.71	0.08	70.33	108	13.19
CIMBL93	tropical/subtropical	91.93	6.1	19.17	0.67	0.32	58	73.5	15	59.44	3.58	11.25	0.64	0.17	47	52	13
GEMS59	temperate	335.17	25.55	80.28	0.76	1.53	516.67	825.33	28.67	133.64	9.29	29.2	0.73	0.54	202	338	12.67
ZHENG29	temperate	176.8	9.02	28.33	0.51	0.36	306.5	390	24.5	73.62	3.54	11.11	0.49	0.13	131	165.5	12.5
CIMBL16	tropical/subtropical	105.59	6.27	19.71	0.6	0.29	103	265	22.5	47.4	2.42	7.62	0.52	0.1	51	163.5	12.5
07KS4	temperate	118.77	7.25	22.78	0.59	0.35	147	245.5	15	69.34	3.76	11.81	0.54	0.14	125	165	12.33
CIMBL140	tropical/subtropical	245.96	14.76	46.36	0.61	0.7	472	585	44.5	74.02	3.93	12.34	0.59	0.17	157.5	151	12
DAN599	tropical/subtropical	358.86	27.16	85.32	0.76	1.61	528	818.33	36.33	75.48	5.72	17.96	0.76	0.34	81.67	135	12
GEMS50	temperate	181.79	9.95	31.26	0.56	0.43	211.67	286.67	23.67	84.95	4.59	14.41	0.54	0.2	97.67	127.33	12
CIMBL11	tropical/subtropical	150.8	8.36	26.27	0.55	0.37	171	260	27.5	52.49	2.85	8.96	0.54	0.12	48.5	81.5	11.5
CML479	tropical/subtropical	207.36	10.44	32.8	0.5	0.41	385.5	517.5	42.5	72.53	3.72	11.69	0.51	0.15	134.5	158	11
18-599	temperate	128.18	8.55	26.86	0.66	0.45	173.33	208.67	12.67	64.67	4.47	14.05	0.6	0.22	113.67	183	10.33
K12	temperate	101.99	6.11	19.2	0.63	0.29	144.5	216.5	14.5	71.04	4.17	13.11	0.62	0.2	108	159.5	10
YE52106	temperate	247.81	15.37	48.27	0.63	0.75	441.5	853.5	55.5	70.43	4.26	13.38	0.63	0.21	130.5	182.5	9.5
CIMBL122	tropical/subtropical	162.18	12.23	38.43	0.76	0.73	133	205	21	70.27	4.84	15.19	0.69	0.26	101.5	145.5	9.5
CIMBL52	tropical/subtropical	128.2	8.2	25.77	0.64	0.41	95.5	145.5	13	67.14	3.67	11.52	0.55	0.16	39.5	58.5	9.5
LG001	temperate	307.11	20.59	64.7	0.67	1.09	497.5	695.33	30.67	88.72	5.43	17.07	0.62	0.26	120	143.5	9.33
GEMS2	temperate	287.33	14.2	44.6	0.49	0.55	684.5	865.67	64	49.98	2.68	8.41	0.58	0.14	170.33	205.5	9
CIMBL6	tropical/subtropical	111.29	9.72	30.53	0.73	0.47	86	133.33	16.33	50	3.24	10.17	0.68	0.17	46.33	70.67	8.67
TY11	temperate	134.92	8.76	27.52	0.65	0.45	113.5	169	12.67	62.34	3.93	12.34	0.71	0.2	88.67	116.67	8.67
CA47	temperate	172.59	11.17	35.09	0.65	0.57	252.5	455	22.5	42.75	2.48	7.78	0.58	0.11	50.5	82.5	8.5
CIMBL2	tropical/subtropical	124.63	7.67	24.1	0.62	0.37	254	481.67	15.5	60.91	3.36	10.54	0.57	0.15	108	184.67	8.33
CIMBL28	tropical/subtropical	249.38	14.52	45.63	0.58	0.67	341.5	529	41.5	61.35	3.28	10.29	0.53	0.14	90	111.5	8
GEMS15	temperate	220.26	11.77	36.98	0.53	0.49	267	508	41	72.13	3.61	11.33	0.5	0.14	94	122	8
CML170	tropical/subtropical	223.2	15.27	47.96	0.69	0.82	340.67	424.33	17.33	82.42	5.41	17	0.66	0.28	130	151.33	8
ZZ03	temperate	180.43	12.15	38.17	0.68	0.64	177	340	21	58.84	3.92	12.32	0.66	0.21	57	110	7.5
LIAO5262	temperate	101.39	5.58	17.51	0.55	0.24	225	299.67	13.33	53.83	3.62	11.38	0.53	0.15	130	163	7
TY3	temperate	62.16	3.74	11.76	0.6	0.18	91	140	9	49.22	2.98	9.35	0.6	0.14	77	126	7
CIMBL121	tropical/subtropical	176.65	12.15	38.18	0.69	0.66	206.5	282	14	65.62	3.95	12.4	0.6	0.19	86.5	108.5	6.5
CML323	tropical/subtropical	400.27	23.5	73.83	0.57	1.14	705	1374.67	103	97.98	5.37	16.88	0.58	0.23	137.5	160.5	6
CIMBL47	tropical/subtropical	269.69	17.81	55.94	0.62	0.92	180.67	177.67	20	53.81	3.51	11.02	0.66	0.18	52.33	50.67	6
CIMBL79	tropical/subtropical	195	13.42	42.16	0.7	0.73	188.33	316	25.33	70.19	4.12	12.93	0.6	0.19	103.33	164.67	5.5
835B	temperate	245.95	16.25	51.06	0.68	0.9	280.33	498	23	71.22	4.65	14.62	0.65	0.2	81.33	116.33	5.33
Z2018F	temperate	182.4	12.03	37.78	0.66	0.62	218	370	17	66.93	4.08	12.83	0.61	0.2	137	155	5
EN25	temperate	89.4	4.48	14.08	0.5	0.16	167.67	193.33	10	41.9	2.27	7.12	0.5	0.08	72.33	87.33	5
CIMBL109	tropical/subtropical	121.66	8.77	27.56	0.72	0.5	128	141.5	5.5	49.27	3.07	9.65	0.63	0.15	77	78.5	3.5
CIMBL60	tropical/subtropical	104.98	6.84	21.49	0.66	0.35	152	174.5	9.5	36.38	2.38	7.49	0.67	0.12	59	57	2.5
CIMBL46	tropical/subtropical	126.44	9.16	28.77	0.72	0.52	83.67	102.67	10	39.9	3.28	10.31	0.72	0.16	31.33	45	2.33
CIMBL58	tropical/subtropical	208.59	17.21	54.07	0.82	1.12	260.67	386	15	50.36	4.19	13.16	0.83	0.27	74	92	2
CIMBL49	tropical/subtropical	107.04	8.17	25.68	0.76	0.49	73	111.5	14	31.34	2.26	7.09	0.72	0.13	34	43	1.5
CIMBL100	tropical/subtropical	88.27	6.88	21.61	0.78	0.42	94	145	3.5	37.88	3.08	9.69	0.81	0.2	44	76	1
GEMS42	temperate	56.02	3.4	10.67	0.61	0.16	84	106	1	28.3	1.6	5.03	0.57	0.07	45	45	1
CIMBL101	tropical/subtropical	40.46	2.63	8.26	0.66	0.13	63	76	1.5	8.98	0.58	1.81	0.64	0.03	13	12	0
