<Traits>	group	WFR	WDR	WFS	WDS	Biomass	WF	WC
7381	temperate	0.81	0.157	2.09	0.81	0.967	2.9	1.933
DONG237	temperate	0.783	0.097	1.467	0.241	0.338	2.25	1.912
DAN4245	temperate	0.693	0.077	1.4	0.11	0.187	2.093	1.906
CML327	tropical/subtropical	0.967	0.047	1.05	0.074	0.121	2.017	1.896
CML480	tropical/subtropical	1.36	0.12	2.007	1.36	1.48	3.367	1.886
CML130	tropical/subtropical	0.69	0.101	1.52	0.224	0.325	2.21	1.885
CIMBL22	tropical/subtropical	1.01	0.124	1.12	0.124	0.247	2.13	1.883
ZHONG69	temperate	0.593	0.037	1.433	0.107	0.144	2.027	1.883
CIMBL6	tropical/subtropical	0.577	0.111	1.86	0.467	0.578	2.437	1.859
CIMBL51	tropical/subtropical	0.953	0.09	1.155	0.16	0.251	2.108	1.858
GEMS15	temperate	0.82	0.057	1.18	0.087	0.144	2	1.856
CML170	tropical/subtropical	1.057	0.084	0.98	0.107	0.191	2.037	1.846
GEMS30	temperate	0.883	0.057	1.093	0.077	0.134	1.977	1.843
CIMBL142	tropical/subtropical	0.895	0.082	1.155	0.157	0.239	2.05	1.811
CA47	temperate	0.935	0.052	1.005	0.077	0.129	1.94	1.811
RY729	temperate	1.49	0.107	1.91	1.49	1.597	3.4	1.803
LIAO138	temperate	0.803	0.154	1.947	0.803	0.957	2.75	1.793
CIMBL25	tropical/subtropical	0.793	0.137	1.927	0.793	0.93	2.72	1.79
CML454	tropical/subtropical	0.93	0.087	1.073	0.127	0.214	2.003	1.789
CML431	tropical/subtropical	0.507	0.107	1.887	0.507	0.614	2.393	1.78
7327	temperate	1.685	0.134	1.907	1.685	1.819	3.592	1.773
CIMBL18	tropical/subtropical	0.76	0.087	1.84	0.76	0.847	2.6	1.753
GEMS10	temperate	0.717	0.157	1.88	0.717	0.874	2.597	1.723
CIMBL38	tropical/subtropical	0.655	0.102	1.35	0.207	0.309	2.005	1.696
CIMBL27	tropical/subtropical	0.823	0.074	1.013	0.074	0.147	1.837	1.689
GEMS29	temperate	0.745	0.057	1.075	0.077	0.134	1.82	1.686
BS16	temperate	0.85	0.069	1.01	0.109	0.178	1.86	1.682
DONG46	temperate	0.96	0.092	1.77	0.96	1.052	2.73	1.678
CIMBL7	tropical/subtropical	1.05	0.144	1.81	1.05	1.194	2.86	1.666
07KS4	temperate	0.563	0.077	1.377	0.21	0.287	1.94	1.653
4F1	temperate	0.925	0.117	1.767	0.925	1.042	2.692	1.65
CML192	tropical/subtropical	0.85	0.077	1.015	0.147	0.224	1.865	1.641
GEMS19	temperate	0.71	0.092	1.715	0.71	0.802	2.425	1.623
CIMBL28	tropical/subtropical	0.925	0.057	0.825	0.072	0.129	1.75	1.621
CIMBL2	tropical/subtropical	0.677	0.087	1.133	0.117	0.204	1.81	1.606
150	temperate	1.04	0.147	1.75	1.04	1.187	2.79	1.603
M97	temperate	0.97	0.15	1.75	0.97	1.12	2.72	1.6
CIMBL157	tropical/subtropical	0.947	0.054	0.895	0.204	0.258	1.842	1.584
CML433	tropical/subtropical	0.41	0.077	1.35	0.107	0.184	1.76	1.576
ZHENG29	temperate	0.565	0.059	1.23	0.164	0.223	1.795	1.572
JIAO51	temperate	0.75	0.107	1.677	0.75	0.857	2.427	1.57
CIMBL19	tropical/subtropical	1.045	0.127	1.675	1.045	1.172	2.72	1.548
CML432	tropical/subtropical	0.58	0.114	1.66	0.58	0.694	2.24	1.546
CIMBL29	tropical/subtropical	1.65	0.157	1.68	1.65	1.807	3.33	1.523
CML121	tropical/subtropical	0.78	0.04	0.87	0.09	0.131	1.65	1.519
BY4944	temperate	0.89	0.057	0.72	0.037	0.094	1.61	1.516
CML290	tropical/subtropical	0.94	0.074	1.583	0.94	1.014	2.523	1.51
GEMS32	temperate	0.65	0.104	1.2	0.244	0.348	1.85	1.502
CIMBL46	tropical/subtropical	0.853	0.064	0.775	0.064	0.127	1.628	1.501
TIE7922	temperate	1.02	0.084	1.583	1.02	1.104	2.603	1.5
DAN340	temperate	0.77	0.067	0.875	0.087	0.154	1.645	1.491
5237	temperate	0.89	0.117	1.6	0.89	1.007	2.49	1.483
CIMBL106	tropical/subtropical	0.76	0.147	1.63	0.76	0.907	2.39	1.483
SI273	temperate	1.25	0.127	1.6	1.25	1.377	2.85	1.473
MO113	temperate	1.09	0.117	1.59	1.09	1.207	2.68	1.473
177	temperate	0.537	0.137	1.607	0.537	0.674	2.143	1.47
CML163	tropical/subtropical	0.68	0.134	1.587	0.68	0.814	2.267	1.453
CML496	tropical/subtropical	0.67	0.052	1.505	0.67	0.722	2.175	1.453
CML479	tropical/subtropical	0.715	0.062	0.87	0.092	0.154	1.585	1.431
TY5	temperate	0.55	0.042	1.035	0.127	0.169	1.585	1.416
QI205	temperate	0.723	0.07	0.833	0.077	0.147	1.557	1.409
L3180	temperate	1.07	0.097	1.49	1.07	1.167	2.56	1.393
CIMBL115	tropical/subtropical	1.01	0.137	1.51	1.01	1.147	2.52	1.373
CML486	tropical/subtropical	0.645	0.042	0.855	0.092	0.134	1.5	1.366
CIMBL144	tropical/subtropical	0.64	0.052	0.865	0.097	0.149	1.505	1.356
CIMBL12	tropical/subtropical	1.187	0.12	1.423	1.187	1.307	2.61	1.303
GY462	temperate	0.76	0.077	1.37	0.76	0.837	2.13	1.293
CIMBL60	tropical/subtropical	0.515	0.092	0.975	0.112	0.204	1.49	1.286
CIMBL100	tropical/subtropical	0.76	0.127	0.835	0.187	0.314	1.595	1.281
CML360	tropical/subtropical	1.133	0.147	1.413	1.133	1.28	2.547	1.266
CML118	tropical/subtropical	0.577	0.067	0.883	0.127	0.194	1.46	1.266
B77	temperate	0.753	0.067	0.637	0.067	0.134	1.39	1.256
CIMBL109	tropical/subtropical	0.685	0.092	0.86	0.217	0.309	1.545	1.236
CML20	tropical/subtropical	0.62	0.07	0.767	0.087	0.157	1.387	1.229
CIMBL16	tropical/subtropical	0.49	0.077	0.925	0.122	0.199	1.415	1.216
GEMS50	temperate	0.64	0.037	0.65	0.047	0.084	1.29	1.206
CML172	tropical/subtropical	0.597	0.12	1.297	0.597	0.717	1.893	1.176
YU374	temperate	0.7	0.077	0.58	0.087	0.164	1.28	1.116
ZHENG35	temperate	0.845	0.112	1.205	0.845	0.957	2.05	1.093
CIMBL11	tropical/subtropical	0.56	0.082	0.695	0.097	0.179	1.255	1.076
CHENG698	temperate	0.487	0.057	0.697	0.07	0.127	1.183	1.056
CIMBL52	tropical/subtropical	0.52	0.107	0.74	0.112	0.219	1.26	1.041
ZONG31	temperate	0.445	0.104	0.84	0.149	0.253	1.285	1.032
TY2	temperate	0.74	0.082	1.105	0.74	0.822	1.845	1.023
GEMS37	temperate	0.42	0.057	0.72	0.067	0.124	1.14	1.016
GEMS40	temperate	0.43	0.047	0.7	0.077	0.124	1.13	1.006
CIMBL70	tropical/subtropical	0.59	0.1	1.1	0.59	0.69	1.69	1
CHANG3	temperate	0.855	0.092	1.08	0.855	0.947	1.935	0.988
LIAO5262	temperate	0.47	0.067	0.73	0.157	0.225	1.2	0.975
GEMS3	temperate	0.45	0.054	0.685	0.124	0.178	1.135	0.957
TY3	temperate	0.43	0.084	0.76	0.164	0.248	1.19	0.942
K22	temperate	0.53	0.084	0.59	0.094	0.178	1.12	0.942
CIMBL55	tropical/subtropical	0.52	0.087	0.58	0.087	0.174	1.1	0.926
ZHENG30	temperate	0.68	0.097	1.02	0.68	0.777	1.7	0.923
CIMBL13	tropical/subtropical	0.775	0.09	0.997	0.775	0.865	1.772	0.906
ZHENG653	temperate	0.26	0.037	0.74	0.067	0.104	1	0.896
CIMBL141	tropical/subtropical	1.18	0.117	1	1.18	1.297	2.18	0.883
CML171	tropical/subtropical	0.675	0.072	0.945	0.675	0.747	1.62	0.873
MO17	temperate	0.59	0.067	0.94	0.59	0.657	1.53	0.873
SHEN5003	temperate	0.69	0.067	0.895	0.69	0.757	1.585	0.828
CIMBL43	tropical/subtropical	0.52	0.067	0.86	0.52	0.587	1.38	0.793
CIMBL93	tropical/subtropical	0.41	0.057	0.5	0.062	0.119	0.91	0.791
P178	tropical/subtropical	0.34	0.102	0.885	0.34	0.442	1.225	0.783
CIMBL49	tropical/subtropical	0.34	0.057	0.525	0.062	0.119	0.865	0.746
CIMBL82	tropical/subtropical	0.84	0.117	0.845	0.84	0.957	1.685	0.728
K12	temperate	0.47	0.084	0.445	0.119	0.203	0.915	0.712
EN25	temperate	0.263	0.064	0.597	0.087	0.151	0.86	0.709
CIMBL94	tropical/subtropical	0.685	0.067	0.775	0.685	0.752	1.46	0.708
CIMBL101	tropical/subtropical	0.43	0.067	0.405	0.067	0.134	0.835	0.701
CIMBL116	tropical/subtropical	0.36	0.092	0.77	0.36	0.452	1.13	0.678
K14	temperate	0.44	0.097	0.76	0.44	0.537	1.2	0.663
CIMBL108	tropical/subtropical	0.48	0.117	0.753	0.48	0.597	1.233	0.636
GEMS25	temperate	0.5	0.097	0.68	0.5	0.597	1.18	0.583
81162	temperate	0.63	0.082	0.66	0.63	0.712	1.29	0.578
GEMS28	temperate	0.3	0.047	0.36	0.047	0.094	0.66	0.566
GEMS42	temperate	0.3	0.017	0.25	0.047	0.064	0.55	0.486
CML493	tropical/subtropical	0.337	0.074	0.543	0.337	0.41	0.88	0.47
GEMS41	temperate	0.65	0.057	0.425	0.65	0.707	1.075	0.368
